student_id,first_name,last_name,gender,date_of_birth,class
STU001,Felicia,Rich,F,2010-02-11,1-b
STU002,Eddie,Brown,M,2009-12-09,1-b
STU003,Kevin,Hawkins,M,2010-08-19,1-c
STU004,Scott,Kent,M,2010-03-13,1-d
STU005,Catherine,Ramos,F,2010-02-16,1-c
STU006,Lisa,Grant,F,2009-10-26,1-a
STU007,John,Herman,M,2010-01-23,1-c
STU008,Brian,Patterson,M,2010-06-23,1-a
STU009,Glenn,Lawson,M,2009-12-13,1-a
STU010,Katie,Washington,F,2010-06-28,1-b
STU011,Jimmy,Anderson,M,2010-07-11,1-d
STU012,Anna,Powell,F,2010-06-07,1-d
STU013,Gina,Jones,F,2010-01-02,1-d
STU014,Ashley,Nguyen,F,2009-12-08,1-b
STU015,Robert,Beard,M,2010-03-21,1-c
STU016,Emily,Tate,F,2010-03-29,1-b
STU017,Caleb,Glass,M,2010-03-12,1-c
STU018,Wendy,Brown,F,2010-05-19,1-a
STU019,Madison,Brown,F,2009-12-12,1-b
STU020,Michael,Hernandez,M,2010-07-28,1-a
STU021,Lauren,Lynn,F,2010-04-17,1-b
STU022,Hannah,Pratt,F,2010-05-08,1-b
STU023,Nicole,Dean,F,2010-08-21,1-d
STU024,Dustin,Moyer,M,2010-05-31,1-c
STU025,Michelle,Crane,F,2010-01-07,1-d
STU026,Dustin,Sanford,M,2010-05-11,1-a
STU027,Kathryn,Mccormick,F,2010-01-22,1-a
STU028,Amber,Hill,F,2010-04-27,1-b
STU029,David,Hernandez,M,2010-03-22,1-c
STU030,Cynthia,Hudson,F,2009-11-25,1-d
STU031,Shannon,Bailey,F,2009-12-26,1-a
STU032,Manuel,Rodriguez,M,2010-02-02,1-d
STU033,Michael,Werner,M,2010-03-20,1-a
STU034,Julian,Eaton,M,2009-11-24,1-b
STU035,John,Contreras,M,2010-04-18,1-d
STU036,Jeffery,Alexander,M,2010-09-11,1-b
STU037,Daniel,Sanders,M,2009-11-12,1-a
STU038,Terri,Montgomery,F,2009-11-26,1-b
STU039,Jim,George,M,2009-12-30,1-c
STU040,Frances,Fitzgerald,F,2009-11-12,1-a
STU041,Matthew,Nielsen,M,2010-08-16,1-a
STU042,Laura,Romero,F,2009-12-30,1-d
STU043,Jennifer,Salazar,F,2010-04-14,1-d
STU044,David,Gill,M,2010-05-10,1-c
STU045,Jeffrey,Greene,M,2010-09-04,1-b
STU046,Kelly,Baker,F,2010-01-06,1-d
STU047,Kimberly,Meyer,F,2010-01-02,1-a
STU048,Olivia,Patel,F,2010-03-30,1-a
STU049,Robert,Gomez,M,2010-08-25,1-c
STU050,Justin,Miller,M,2009-12-14,1-b
STU051,Bradley,Padilla,M,2010-04-24,1-b
STU052,Lauren,Sandoval,F,2009-10-23,1-c
STU053,Joseph,Martin,M,2009-12-18,1-d
STU054,Emily,Zavala,F,2010-01-23,1-a
STU055,Robert,Barker,M,2010-10-17,1-b
STU056,Thomas,Long,M,2009-12-30,1-c
STU057,Julia,Morris,F,2010-07-31,1-a
STU058,Mark,Contreras,M,2009-12-03,1-d
STU059,Heather,Torres,F,2010-05-24,1-a
STU060,Christine,Ferguson,F,2010-09-17,1-d
STU061,Dana,Flores,F,2010-01-12,1-c
STU062,Lauren,Brown,F,2010-03-01,1-d
STU063,Richard,Taylor,M,2010-05-21,1-b
STU064,Jennifer,Foster,F,2010-05-28,1-c
STU065,Wesley,Fitzgerald,M,2010-06-21,1-b
STU066,Robin,Hernandez,M,2010-02-14,1-d
STU067,Haley,Hahn,F,2010-05-14,1-d
STU068,Michael,Howard,M,2009-12-04,1-a
STU069,Chelsea,Watson,F,2010-04-15,1-c
STU070,Alicia,Garcia,F,2010-05-20,1-b
STU071,James,Hernandez,M,2010-07-02,1-c
STU072,Heather,Combs,F,2010-09-11,1-c
STU073,Scott,Gilbert,M,2010-10-02,1-b
STU074,Melissa,Solis,F,2010-02-17,1-a
STU075,Kathleen,Trujillo,F,2010-06-27,1-d
STU076,Robert,Valdez,M,2010-05-01,1-b
STU077,Rose,Proctor,F,2010-09-06,1-c
STU078,Peter,Owen,M,2010-04-11,1-d
STU079,Ann,Thompson,F,2010-10-02,1-c
STU080,Tammie,Oneill,F,2010-08-28,1-b
STU081,Brenda,Brown,F,2010-04-23,1-c
STU082,Kathleen,Reid,F,2009-12-22,1-a
STU083,David,Wood,M,2009-12-30,1-d
STU084,Anthony,Reed,M,2009-11-19,1-b
STU085,John,Neal,M,2010-03-24,1-d
STU086,Tara,Byrd,F,2010-07-25,1-c
STU087,Kelli,Boyer,F,2009-11-20,1-b
STU088,Gabriel,Perez,M,2010-06-16,1-b
STU089,Natasha,Walker,F,2010-09-04,1-c
STU090,Amanda,Simmons,F,2009-11-24,1-d
STU091,William,Moore,M,2010-05-29,1-a
STU092,Shawn,Nelson,M,2009-10-25,1-c
STU093,Ann,Porter,F,2010-03-21,1-d
STU094,Melanie,Carter,F,2010-10-16,1-c
STU095,Ryan,Padilla,M,2009-12-31,1-a
STU096,Geoffrey,Huber,M,2010-07-30,1-a
STU097,Charles,James,M,2010-08-16,1-a
STU098,Carrie,Hamilton,F,2009-12-20,1-c
STU099,Alan,Hines,M,2010-03-28,1-a
STU100,Julia,Reynolds,F,2009-10-23,1-d
